"user_id","jumlah_transaksi","biaya","age"
1,8,352.960001,"30"
3,2,32.98999977,"48"
4,2,141.7899971,"16"
5,4,212.43999861999998,"14"
6,1,64.90000153,"13"
7,1,73.70999908,"62"
9,6,782.3400115899999,"53"
10,4,259.23000145,"19"
11,2,54.940000530000006,"28"
12,1,44,"48"
13,1,15,"68"
14,2,48.04000092,"52"
15,2,69.949999809,"21"
16,3,105.95000076,"35"
17,1,14.98999977,"16"
18,6,505.53999806,"50"
19,3,123.989999771,"52"
22,3,144.87000275,"38"
23,2,149.44999695,"50"
24,5,408.32000159999996,"47"
25,3,276.939996671,"19"
27,6,427.20999909,"31"
28,1,26.98999977,"22"
30,1,129.5,"37"
31,1,27.95000076,"12"
32,2,51.90000153,"44"
33,1,5.5,"41"
34,1,25,"30"
35,3,107.98999977,"43"
36,2,205.91999438000002,"48"
38,1,79.5,"50"
39,2,84.99000168,"68"
40,1,20.89999962,"48"
41,1,68,"36"
43,1,83.66999817,"52"
47,1,38,"29"
48,1,135,"17"
49,1,18,"24"
51,4,280.81999969,"29"
52,1,23.95000076,"13"
53,1,35.20000076,"68"
54,1,18,"57"
56,6,271.93000221399996,"23"
57,1,59,"17"
58,5,179.4300003,"63"
60,2,168.27999973,"54"
61,4,165.24000168,"43"
62,2,127.98999977,"40"
63,2,148.94999695,"46"
64,1,29.98999977,"47"
65,8,692.33000946,"59"
66,3,186.99000168,"25"
67,1,178,"43"
68,1,190,"40"
69,3,114.019997592,"22"
70,3,102.95000076,"39"
73,5,139.309999461,"16"
75,1,25,"16"
76,2,207.87999729,"23"
77,1,19.95000076,"54"
78,1,44,"43"
79,1,32.95000076,"37"
80,5,280.92999935,"53"
81,1,17.48999977,"18"
82,6,465.16999863899997,"63"
83,2,91.48999977,"48"
84,1,19,"44"
86,2,114.47000122,"24"
87,7,541.939999571,"14"
88,2,66,"57"
91,6,284.8200016,"27"
93,1,15.90999985,"32"
94,1,70,"14"
95,5,159.039999,"69"
96,2,104.5,"69"
97,1,34,"50"
98,1,28.89999962,"30"
99,4,386.29999924000003,"62"
100,4,229.98000336,"38"
101,1,39,"63"
102,4,247.38999938999999,"27"
103,1,25,"42"
104,4,160.18000031,"39"
105,3,257.93999862000004,"61"
107,1,79.5,"67"
108,2,115,"68"
109,2,67.59999847,"17"
110,1,34,"17"
112,3,96.96999930999999,"70"
113,1,17.98999977,"55"
114,4,210.69999880999998,"38"
115,1,112.5,"23"
116,1,89.94999695,"26"
117,1,24.96999931,"14"
118,1,118,"63"
120,1,85,"58"
121,2,59.99000168,"47"
122,1,129,"34"
123,6,173.989999771,"53"
124,2,144.89000511999998,"47"
128,1,191.25,"30"
129,2,159.9499969,"39"
130,2,117.38999939,"59"
131,2,39.449999809,"32"
132,2,87.49000168,"50"
134,1,39.99000168,"17"
136,2,94,"15"
137,1,18.25,"37"
138,2,155.99000168,"32"
139,8,478.95999908,"52"
140,1,75,"30"
141,2,333.7200012,"13"
142,6,220.98999882,"42"
143,1,44.99000168,"33"
144,5,183.45000267099996,"67"
145,1,48,"29"
146,1,179.9499969,"34"
147,1,17.95000076,"68"
148,5,103.569999691,"49"
149,1,45.95000076,"41"
150,1,89.93000031,"52"
151,1,52.91999817,"45"
152,3,155.98999977,"56"
153,4,258.47000022,"50"
155,2,70.32000350999999,"66"
156,1,25,"61"
157,1,10.94999981,"14"
159,5,162.98999977,"19"
160,5,188.46000195,"32"
161,2,296.1299973,"19"
162,1,14,"28"
163,4,127.98000145,"49"
164,8,397.74000169000004,"17"
165,2,159,"25"
166,5,526.4899997699999,"35"
167,3,466.63999939,"17"
168,2,93.52999878,"32"
169,5,394.87000084,"30"
170,1,29,"55"
172,3,169.73000527,"36"
173,2,237.01000213999998,"21"
174,1,30,"19"
175,1,18.98999977,"70"
176,2,62.95000076,"65"
177,1,143,"19"
178,1,229.9900055,"52"
179,1,239.9499969,"31"
182,2,176.93000408,"68"
183,2,79.87000275,"67"
184,1,19.98999977,"43"
185,1,29.87999916,"49"
186,3,110.60999966,"38"
187,4,230.58999824,"19"
188,1,119.9899979,"54"
189,1,178,"70"
190,3,117.79000187000001,"53"
191,2,209,"57"
192,1,25,"19"
194,1,87.5,"35"
196,1,72.98000336,"28"
197,3,211.9499969,"16"
199,1,19.98999977,"17"
201,4,231.98999977,"66"
204,1,11.92000008,"41"
205,2,185,"62"
206,1,24.98999977,"30"
207,1,46,"45"
208,1,24,"31"
209,8,209.42000198,"44"
210,2,94.98000336,"29"
213,1,68,"20"
215,4,306.59000401000003,"23"
216,3,94.449999809,"40"
219,3,91.780000691,"21"
220,4,189.16999815999998,"65"
221,2,54.70000076,"28"
222,1,60,"12"
223,1,46,"42"
224,5,474.14999765999994,"50"
225,7,437.130006799,"25"
227,9,390.50000188999996,"53"
228,2,122.94999695,"44"
229,2,184.99000168,"60"
230,4,328.9599991,"63"
231,1,62.5,"64"
232,3,240.94000626,"40"
233,1,118.1500015,"13"
234,4,172.4699974,"20"
235,6,442.56000515,"57"
236,3,145.5,"59"
237,2,83.48999977,"33"
239,10,502.90999988,"39"
240,4,285.79999926,"34"
241,3,96.269999748,"59"
242,2,116.33000183,"22"
244,2,66.5,"53"
245,1,168,"54"
246,2,129.50999832,"30"
247,2,59.45000076,"37"
248,5,341.44000626,"29"
250,3,121.86999702,"62"
251,3,128.93000221,"38"
252,3,210.48999977,"32"
253,3,136.96999931,"51"
254,3,225.4899979,"47"
256,3,181.97999954,"27"
257,2,111.5,"14"
259,2,55.20000076,"57"
261,2,36.70000076,"22"
262,1,138,"53"
263,2,142.58999827,"27"
264,2,114.99000168,"49"
265,3,111.51000022999999,"29"
266,2,127.99000168,"27"
267,1,130,"41"
268,2,85.920001029,"51"
269,2,74.29999924,"30"
270,2,307.9899902,"54"
273,2,129.95000076,"31"
274,4,204.5999985,"52"
275,1,14,"21"
276,7,498.00000191,"37"
278,1,12.94999981,"58"
279,5,533.76000213,"22"
280,1,79.98999786,"39"
281,1,15,"49"
282,1,79.5,"37"
283,1,13.94999981,"22"
284,7,492.3100013800001,"65"
286,3,230.40000153,"30"
289,4,336.93999672,"46"
290,1,35.18000031,"12"
291,2,70,"38"
292,1,44.99000168,"32"
293,2,65.25999832,"18"
296,2,124.27000046,"52"
298,2,102.43999958,"12"
299,1,119,"42"
300,1,60,"34"
301,3,83.20999908,"48"
302,6,317.75000286,"41"
303,2,51.88999939,"30"
305,2,29,"48"
307,5,290.879996251,"43"
308,1,47.5,"17"
309,3,234.5,"32"
311,2,140.95000078,"55"
313,2,93.98999977,"57"
315,3,150.640002209,"61"
316,2,138.2300034,"29"
317,1,44.99000168,"50"
318,1,45,"55"
319,1,69.30000305,"20"
320,1,29.95000076,"37"
321,2,401.77999878,"59"
322,1,44,"35"
323,1,31.5,"55"
324,3,75.90999985,"54"
326,2,39.37999916,"60"
327,3,172.48999977,"57"
328,1,265,"69"
329,1,25,"70"
330,1,28,"16"
331,1,21.97999954,"64"
332,5,309.51000023,"48"
334,2,178.98999977,"55"
335,1,88,"52"
336,2,334,"53"
338,1,78.98999786,"42"
339,2,162.98999977,"62"
